paar_id,referenz_s,runde_1,schaetzung_r1_s,abs_fehler_r1_s,runde_2,schaetzung_r2_s,abs_fehler_r2_s,differenz_fehler_r1_minus_r2_s,source_kind,source_ref
S1-PAIR-001,120,R1,88,32,R2,108,12,20,LEHRDATEN,P0-03-S1-PAARE-V1
S1-PAIR-002,120,R1,92,28,R2,104,16,12,LEHRDATEN,P0-03-S1-PAARE-V1
S1-PAIR-003,120,R1,95,25,R2,110,10,15,LEHRDATEN,P0-03-S1-PAARE-V1
S1-PAIR-004,120,R1,98,22,R2,112,8,14,LEHRDATEN,P0-03-S1-PAARE-V1
S1-PAIR-005,120,R1,100,20,R2,114,6,14,LEHRDATEN,P0-03-S1-PAARE-V1
S1-PAIR-006,120,R1,102,18,R2,116,4,14,LEHRDATEN,P0-03-S1-PAARE-V1
S1-PAIR-007,120,R1,104,16,R2,118,2,14,LEHRDATEN,P0-03-S1-PAARE-V1
S1-PAIR-008,120,R1,106,14,R2,119,1,13,LEHRDATEN,P0-03-S1-PAARE-V1
S1-PAIR-009,120,R1,108,12,R2,121,1,11,LEHRDATEN,P0-03-S1-PAARE-V1
S1-PAIR-010,120,R1,110,10,R2,123,3,7,LEHRDATEN,P0-03-S1-PAARE-V1
S1-PAIR-011,120,R1,112,8,R2,126,6,2,LEHRDATEN,P0-03-S1-PAARE-V1
S1-PAIR-012,120,R1,114,6,R2,128,8,-2,LEHRDATEN,P0-03-S1-PAARE-V1
S1-PAIR-013,120,R1,116,4,R2,125,5,-1,LEHRDATEN,P0-03-S1-PAARE-V1
S1-PAIR-014,120,R1,118,2,R2,123,3,-1,LEHRDATEN,P0-03-S1-PAARE-V1
S1-PAIR-015,120,R1,119,1,R2,122,2,-1,LEHRDATEN,P0-03-S1-PAARE-V1
S1-PAIR-016,120,R1,121,1,R2,119,1,0,LEHRDATEN,P0-03-S1-PAARE-V1
S1-PAIR-017,120,R1,123,3,R2,117,3,0,LEHRDATEN,P0-03-S1-PAARE-V1
S1-PAIR-018,120,R1,125,5,R2,116,4,1,LEHRDATEN,P0-03-S1-PAARE-V1
S1-PAIR-019,120,R1,127,7,R2,114,6,1,LEHRDATEN,P0-03-S1-PAARE-V1
S1-PAIR-020,120,R1,130,10,R2,113,7,3,LEHRDATEN,P0-03-S1-PAARE-V1
S1-PAIR-021,120,R1,132,12,R2,112,8,4,LEHRDATEN,P0-03-S1-PAARE-V1
S1-PAIR-022,120,R1,134,14,R2,111,9,5,LEHRDATEN,P0-03-S1-PAARE-V1
S1-PAIR-023,120,R1,136,16,R2,110,10,6,LEHRDATEN,P0-03-S1-PAARE-V1
S1-PAIR-024,120,R1,138,18,R2,108,12,6,LEHRDATEN,P0-03-S1-PAARE-V1
S1-PAIR-025,120,R1,140,20,R2,106,14,6,LEHRDATEN,P0-03-S1-PAARE-V1
S1-PAIR-026,120,R1,144,24,R2,105,15,9,LEHRDATEN,P0-03-S1-PAARE-V1
S1-PAIR-027,120,R1,148,28,R2,103,17,11,LEHRDATEN,P0-03-S1-PAARE-V1
S1-PAIR-028,120,R1,152,32,R2,100,20,12,LEHRDATEN,P0-03-S1-PAARE-V1
S1-PAIR-029,120,R1,156,36,R2,98,22,14,LEHRDATEN,P0-03-S1-PAARE-V1
S1-PAIR-030,120,R1,162,42,R2,95,25,17,LEHRDATEN,P0-03-S1-PAARE-V1
