servicefall_id,servicezeit_s,source_kind,source_ref
S1-SV-001,60,LEHRDATEN,P0-03-S1-SERVICE-V1
S1-SV-002,70,LEHRDATEN,P0-03-S1-SERVICE-V1
S1-SV-003,80,LEHRDATEN,P0-03-S1-SERVICE-V1
S1-SV-004,90,LEHRDATEN,P0-03-S1-SERVICE-V1
S1-SV-005,100,LEHRDATEN,P0-03-S1-SERVICE-V1
S1-SV-006,105,LEHRDATEN,P0-03-S1-SERVICE-V1
S1-SV-007,110,LEHRDATEN,P0-03-S1-SERVICE-V1
S1-SV-008,112,LEHRDATEN,P0-03-S1-SERVICE-V1
S1-SV-009,115,LEHRDATEN,P0-03-S1-SERVICE-V1
S1-SV-010,118,LEHRDATEN,P0-03-S1-SERVICE-V1
S1-SV-011,122,LEHRDATEN,P0-03-S1-SERVICE-V1
S1-SV-012,125,LEHRDATEN,P0-03-S1-SERVICE-V1
S1-SV-013,128,LEHRDATEN,P0-03-S1-SERVICE-V1
S1-SV-014,130,LEHRDATEN,P0-03-S1-SERVICE-V1
S1-SV-015,135,LEHRDATEN,P0-03-S1-SERVICE-V1
S1-SV-016,140,LEHRDATEN,P0-03-S1-SERVICE-V1
S1-SV-017,150,LEHRDATEN,P0-03-S1-SERVICE-V1
S1-SV-018,160,LEHRDATEN,P0-03-S1-SERVICE-V1
S1-SV-019,170,LEHRDATEN,P0-03-S1-SERVICE-V1
S1-SV-020,180,LEHRDATEN,P0-03-S1-SERVICE-V1
