antwort_id,item_id,korrekt,confidence,confidence_gruppe,source_kind,source_ref
S2-ANT-001,S2-Q01,1,1,niedrig,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-002,S2-Q01,1,1,niedrig,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-003,S2-Q01,0,1,niedrig,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-004,S2-Q01,0,1,niedrig,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-005,S2-Q01,0,1,niedrig,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-006,S2-Q01,0,1,niedrig,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-007,S2-Q01,0,1,niedrig,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-008,S2-Q01,0,1,niedrig,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-009,S2-Q01,0,1,niedrig,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-010,S2-Q01,0,1,niedrig,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-011,S2-Q01,1,2,niedrig,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-012,S2-Q01,1,2,niedrig,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-013,S2-Q01,1,2,niedrig,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-014,S2-Q01,1,2,niedrig,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-015,S2-Q01,0,2,niedrig,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-016,S2-Q01,0,2,niedrig,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-017,S2-Q01,0,2,niedrig,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-018,S2-Q01,0,2,niedrig,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-019,S2-Q01,0,2,niedrig,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-020,S2-Q01,0,2,niedrig,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-021,S2-Q01,0,2,niedrig,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-022,S2-Q01,0,2,niedrig,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-023,S2-Q01,1,3,mittel,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-024,S2-Q01,1,3,mittel,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-025,S2-Q01,1,3,mittel,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-026,S2-Q01,1,3,mittel,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-027,S2-Q01,1,3,mittel,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-028,S2-Q01,1,3,mittel,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-029,S2-Q01,1,3,mittel,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-030,S2-Q01,0,3,mittel,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-031,S2-Q01,0,3,mittel,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-032,S2-Q01,0,3,mittel,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-033,S2-Q01,0,3,mittel,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
S2-ANT-034,S2-Q01,0,3,mittel,LEHRDATEN,P0-03-S2-CONFIDENCE-V1
