snapshot_id,frage_id,snapshot_phase,teilnehmende_n,upvotes_u,downvotes_d,stimmen_gesamt,netto,zustimmung,wilson_z,wilson_untergrenze,glaettung_c,kontroversitaet,source_kind,source_ref
S3-SNP-001,S3-Q01,T1,100,1,1,2,0,0.500000,1.96,0.094529,10.000000,0.166667,LEHRDATEN,P0-03-S3-QA-V1
S3-SNP-002,S3-Q01,T2,100,40,40,80,0,0.500000,1.96,0.392972,10.000000,0.888889,LEHRDATEN,P0-03-S3-QA-V1
S3-SNP-003,S3-Q02,T1,120,1,0,1,1,1.000000,1.96,0.206543,12.000000,0.000000,LEHRDATEN,P0-03-S3-QA-V1
S3-SNP-004,S3-Q02,T2,120,100,2,102,98,0.980392,1.96,0.931306,12.000000,0.035088,LEHRDATEN,P0-03-S3-QA-V1
S3-SNP-005,S3-Q03,T1,50,12,8,20,4,0.600000,1.96,0.386578,5.000000,0.640000,LEHRDATEN,P0-03-S3-QA-V1
S3-SNP-006,S3-Q03,T2,50,18,2,20,16,0.900000,1.96,0.698962,5.000000,0.160000,LEHRDATEN,P0-03-S3-QA-V1
S3-SNP-007,S3-Q04,T1,30,9,9,18,0,0.500000,1.96,0.290307,3.000000,0.857143,LEHRDATEN,P0-03-S3-QA-V1
S3-SNP-008,S3-Q04,T2,30,14,1,15,13,0.933333,1.96,0.701829,3.000000,0.111111,LEHRDATEN,P0-03-S3-QA-V1
S3-SNP-009,S3-Q05,T1,10,2,2,4,0,0.500000,1.96,0.150036,1.000000,0.800000,LEHRDATEN,P0-03-S3-QA-V1
S3-SNP-010,S3-Q05,T2,10,6,0,6,6,1.000000,1.96,0.609657,1.000000,0.000000,LEHRDATEN,P0-03-S3-QA-V1
S3-SNP-011,S3-Q06,T1,150,35,30,65,5,0.538462,1.96,0.418532,15.000000,0.750000,LEHRDATEN,P0-03-S3-QA-V1
S3-SNP-012,S3-Q06,T2,150,60,10,70,50,0.857143,1.96,0.756614,15.000000,0.235294,LEHRDATEN,P0-03-S3-QA-V1
