lauf_id,last_vu,median_latenz_basis_ms,median_latenz_ausreisser_ms,ausreisser_geaendert,szenario_id,hardwareprofil,requestmix,source_kind,source_ref
S5-LAUF-001,50,92,92,0,S5-KONTROLLIERT,H1,RM1,LEHRDATEN,P0-03-S5-LAST-LATENZ-V1
S5-LAUF-002,75,95,95,0,S5-KONTROLLIERT,H1,RM1,LEHRDATEN,P0-03-S5-LAST-LATENZ-V1
S5-LAUF-003,100,96,96,0,S5-KONTROLLIERT,H1,RM1,LEHRDATEN,P0-03-S5-LAST-LATENZ-V1
S5-LAUF-004,125,104,104,0,S5-KONTROLLIERT,H1,RM1,LEHRDATEN,P0-03-S5-LAST-LATENZ-V1
S5-LAUF-005,150,105,105,0,S5-KONTROLLIERT,H1,RM1,LEHRDATEN,P0-03-S5-LAST-LATENZ-V1
S5-LAUF-006,175,113,113,0,S5-KONTROLLIERT,H1,RM1,LEHRDATEN,P0-03-S5-LAST-LATENZ-V1
S5-LAUF-007,200,114,114,0,S5-KONTROLLIERT,H1,RM1,LEHRDATEN,P0-03-S5-LAST-LATENZ-V1
S5-LAUF-008,225,123,123,0,S5-KONTROLLIERT,H1,RM1,LEHRDATEN,P0-03-S5-LAST-LATENZ-V1
S5-LAUF-009,250,126,126,0,S5-KONTROLLIERT,H1,RM1,LEHRDATEN,P0-03-S5-LAST-LATENZ-V1
S5-LAUF-010,275,127,127,0,S5-KONTROLLIERT,H1,RM1,LEHRDATEN,P0-03-S5-LAST-LATENZ-V1
S5-LAUF-011,300,137,137,0,S5-KONTROLLIERT,H1,RM1,LEHRDATEN,P0-03-S5-LAST-LATENZ-V1
S5-LAUF-012,325,139,139,0,S5-KONTROLLIERT,H1,RM1,LEHRDATEN,P0-03-S5-LAST-LATENZ-V1
S5-LAUF-013,350,142,230,1,S5-KONTROLLIERT,H1,RM1,LEHRDATEN,P0-03-S5-LAST-LATENZ-V1
S5-LAUF-014,375,151,151,0,S5-KONTROLLIERT,H1,RM1,LEHRDATEN,P0-03-S5-LAST-LATENZ-V1
S5-LAUF-015,400,154,154,0,S5-KONTROLLIERT,H1,RM1,LEHRDATEN,P0-03-S5-LAST-LATENZ-V1
S5-LAUF-016,425,158,158,0,S5-KONTROLLIERT,H1,RM1,LEHRDATEN,P0-03-S5-LAST-LATENZ-V1
