fall_id,ist_klasse,prognose_klasse,ist_technik,prognose_technik,confusion_zelle,source_kind,source_ref
S6-FALL-001,TECHNIK,TECHNIK,1,1,TP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-002,TECHNIK,TECHNIK,1,1,TP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-003,TECHNIK,TECHNIK,1,1,TP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-004,TECHNIK,TECHNIK,1,1,TP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-005,TECHNIK,TECHNIK,1,1,TP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-006,TECHNIK,TECHNIK,1,1,TP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-007,TECHNIK,TECHNIK,1,1,TP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-008,TECHNIK,TECHNIK,1,1,TP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-009,TECHNIK,TECHNIK,1,1,TP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-010,TECHNIK,TECHNIK,1,1,TP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-011,TECHNIK,TECHNIK,1,1,TP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-012,TECHNIK,TECHNIK,1,1,TP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-013,TECHNIK,TECHNIK,1,1,TP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-014,TECHNIK,TECHNIK,1,1,TP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-015,TECHNIK,TECHNIK,1,1,TP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-016,TECHNIK,TECHNIK,1,1,TP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-017,TECHNIK,TECHNIK,1,1,TP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-018,TECHNIK,TECHNIK,1,1,TP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-019,TECHNIK,TECHNIK,1,1,TP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-020,TECHNIK,TECHNIK,1,1,TP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-021,TECHNIK,TECHNIK,1,1,TP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-022,TECHNIK,TECHNIK,1,1,TP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-023,TECHNIK,TECHNIK,1,1,TP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-024,TECHNIK,TECHNIK,1,1,TP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-025,TECHNIK,TECHNIK,1,1,TP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-026,TECHNIK,TECHNIK,1,1,TP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
S6-FALL-027,TECHNIK,TECHNIK,1,1,TP,LEHRDATEN,P0-03-S6-KLASSIFIKATION-V1
