lauf_id,resample_plan_id,resample_id,modell_id,n_eval,tp,fn,fp,tn,accuracy,precision_technik,recall_technik,f1_technik,source_kind,source_ref
S6-RUN-A-01,P0-03-RS-V1,S6-RS-01,LEHRMODELL_A,80,30,10,8,32,0.775000,0.789474,0.750000,0.769231,LEHRDATEN,P0-03-S6-RESAMPLES-V1
S6-RUN-B-01,P0-03-RS-V1,S6-RS-01,LEHRMODELL_B,80,32,8,6,34,0.825000,0.842105,0.800000,0.820513,LEHRDATEN,P0-03-S6-RESAMPLES-V1
S6-RUN-A-02,P0-03-RS-V1,S6-RS-02,LEHRMODELL_A,80,31,9,9,31,0.775000,0.775000,0.775000,0.775000,LEHRDATEN,P0-03-S6-RESAMPLES-V1
S6-RUN-B-02,P0-03-RS-V1,S6-RS-02,LEHRMODELL_B,80,33,7,7,33,0.825000,0.825000,0.825000,0.825000,LEHRDATEN,P0-03-S6-RESAMPLES-V1
S6-RUN-A-03,P0-03-RS-V1,S6-RS-03,LEHRMODELL_A,80,32,8,7,33,0.812500,0.820513,0.800000,0.810127,LEHRDATEN,P0-03-S6-RESAMPLES-V1
S6-RUN-B-03,P0-03-RS-V1,S6-RS-03,LEHRMODELL_B,80,34,6,5,35,0.862500,0.871795,0.850000,0.860759,LEHRDATEN,P0-03-S6-RESAMPLES-V1
S6-RUN-A-04,P0-03-RS-V1,S6-RS-04,LEHRMODELL_A,80,29,11,6,34,0.787500,0.828571,0.725000,0.773333,LEHRDATEN,P0-03-S6-RESAMPLES-V1
S6-RUN-B-04,P0-03-RS-V1,S6-RS-04,LEHRMODELL_B,80,31,9,5,35,0.825000,0.861111,0.775000,0.815789,LEHRDATEN,P0-03-S6-RESAMPLES-V1
S6-RUN-A-05,P0-03-RS-V1,S6-RS-05,LEHRMODELL_A,80,33,7,8,32,0.812500,0.804878,0.825000,0.814815,LEHRDATEN,P0-03-S6-RESAMPLES-V1
S6-RUN-B-05,P0-03-RS-V1,S6-RS-05,LEHRMODELL_B,80,35,5,6,34,0.862500,0.853659,0.875000,0.864198,LEHRDATEN,P0-03-S6-RESAMPLES-V1
S6-RUN-A-06,P0-03-RS-V1,S6-RS-06,LEHRMODELL_A,80,30,10,5,35,0.812500,0.857143,0.750000,0.800000,LEHRDATEN,P0-03-S6-RESAMPLES-V1
S6-RUN-B-06,P0-03-RS-V1,S6-RS-06,LEHRMODELL_B,80,32,8,4,36,0.850000,0.888889,0.800000,0.842105,LEHRDATEN,P0-03-S6-RESAMPLES-V1
S6-RUN-A-07,P0-03-RS-V1,S6-RS-07,LEHRMODELL_A,80,34,6,9,31,0.812500,0.790698,0.850000,0.819277,LEHRDATEN,P0-03-S6-RESAMPLES-V1
S6-RUN-B-07,P0-03-RS-V1,S6-RS-07,LEHRMODELL_B,80,36,4,7,33,0.862500,0.837209,0.900000,0.867470,LEHRDATEN,P0-03-S6-RESAMPLES-V1
S6-RUN-A-08,P0-03-RS-V1,S6-RS-08,LEHRMODELL_A,80,31,9,6,34,0.812500,0.837838,0.775000,0.805195,LEHRDATEN,P0-03-S6-RESAMPLES-V1
S6-RUN-B-08,P0-03-RS-V1,S6-RS-08,LEHRMODELL_B,80,33,7,5,35,0.850000,0.868421,0.825000,0.846154,LEHRDATEN,P0-03-S6-RESAMPLES-V1
S6-RUN-A-09,P0-03-RS-V1,S6-RS-09,LEHRMODELL_A,80,28,12,7,33,0.762500,0.800000,0.700000,0.746667,LEHRDATEN,P0-03-S6-RESAMPLES-V1
S6-RUN-B-09,P0-03-RS-V1,S6-RS-09,LEHRMODELL_B,80,30,10,6,34,0.800000,0.833333,0.750000,0.789474,LEHRDATEN,P0-03-S6-RESAMPLES-V1
S6-RUN-A-10,P0-03-RS-V1,S6-RS-10,LEHRMODELL_A,80,32,8,10,30,0.775000,0.761905,0.800000,0.780488,LEHRDATEN,P0-03-S6-RESAMPLES-V1
S6-RUN-B-10,P0-03-RS-V1,S6-RS-10,LEHRMODELL_B,80,34,6,8,32,0.825000,0.809524,0.850000,0.829268,LEHRDATEN,P0-03-S6-RESAMPLES-V1
S6-RUN-A-11,P0-03-RS-V1,S6-RS-11,LEHRMODELL_A,80,33,7,6,34,0.837500,0.846154,0.825000,0.835443,LEHRDATEN,P0-03-S6-RESAMPLES-V1
S6-RUN-B-11,P0-03-RS-V1,S6-RS-11,LEHRMODELL_B,80,35,5,5,35,0.875000,0.875000,0.875000,0.875000,LEHRDATEN,P0-03-S6-RESAMPLES-V1
S6-RUN-A-12,P0-03-RS-V1,S6-RS-12,LEHRMODELL_A,80,30,10,9,31,0.762500,0.769231,0.750000,0.759494,LEHRDATEN,P0-03-S6-RESAMPLES-V1
S6-RUN-B-12,P0-03-RS-V1,S6-RS-12,LEHRMODELL_B,80,32,8,7,33,0.812500,0.820513,0.800000,0.810127,LEHRDATEN,P0-03-S6-RESAMPLES-V1
